metodo,instancia,n_cli,custo_rs,tempo_s,viavel,gap_pct
Exato (MILP),C1,10,422.38,0.27,True,0.0
Construtiva (NN),C1,10,430.59540311586943,0.0004100799560546875,True,1.944643414021281
Busca local,C1,10,422.38158739456253,0.0030095577239990234,True,0.0
ILS,C1,10,422.38158739456253,0.23166823387145996,True,0.0
Exato (MILP),C2,25,754.04,52.69,False,
Construtiva (NN),C2,25,801.084196070826,0.002501964569091797,True,12.75353044752688
Busca local,C2,25,712.4863189054522,0.0957345962524414,True,0.2832763973908003
ILS,C2,25,710.4737145624312,2.5125203132629395,True,0.0
Exato (MILP),C3,40,769.65,300.73,False,
Construtiva (NN),C3,40,1084.8580411994246,0.0071315765380859375,True,39.98063208855021
Busca local,C3,40,1043.6867201774685,0.3428664207458496,True,34.668243442564574
ILS,C3,40,775.0058168855498,4.713601112365723,True,0.0
Exato (MILP),C4,60,858.31,300.88,False,
Construtiva (NN),C4,60,1527.55566201367,0.01638197898864746,True,10.440822669583806
Busca local,C4,60,1409.997522778049,2.7342865467071533,True,1.9414809228008527
ILS,C4,60,1383.1440450093367,30.506906747817993,True,0.0
