trilha,config,seed,custo,n_rotas,fio/vuc,dist_km,iter_best,n_melh,tempo_s
NN,P1k3,42,609.9,2,2/0,73.27,207,4,3.45
NN,P1k3,123,609.9,2,2/0,73.27,159,8,4.15
NN,P1k3,555,612.24,2,2/0,74.82,106,3,2.96
NN,P1k3,777,612.24,2,2/0,74.82,7,4,2.67
NN,P1k3,2024,612.24,2,2/0,74.82,125,8,2.98
NN,A2,42,649.41,2,2/0,99.6,11,2,6.3
NN,A2,555,649.41,2,2/0,99.6,1,1,6.0
NN,A2,123,649.41,2,2/0,99.6,1,1,5.62
NN,A4,555,649.41,2,2/0,99.6,1,1,2.7
NN,A4,123,649.41,2,2/0,99.6,1,1,5.69
NN,A4,42,649.41,2,2/0,99.6,11,2,6.32
NN,A2,2024,649.41,2,2/0,99.6,1,1,6.79
NN,A2,777,649.41,2,2/0,99.6,2,2,6.56
NN,A4,2024,649.41,2,2/0,99.6,1,1,3.61
NN,A4,777,649.41,2,2/0,99.6,2,2,2.67
CW,A2,42,654.08,1,0/1,69.39,32,2,5.42
CW,A2,123,654.08,1,0/1,69.39,8,2,5.31
CW,A2,555,654.08,1,0/1,69.39,4,2,5.24
CW,A2,777,654.08,1,0/1,69.39,12,2,5.27
CW,A2,2024,654.08,1,0/1,69.39,29,2,5.24
CW,A4,42,654.08,1,0/1,69.39,24,2,5.19
CW,A4,123,654.08,1,0/1,69.39,8,2,5.03
CW,A4,555,654.08,1,0/1,69.39,4,2,5.19
CW,A4,777,654.08,1,0/1,69.39,25,2,4.92
CW,A4,2024,654.08,1,0/1,69.39,55,2,4.18
CW,P1k3,42,655.58,1,0/1,70.39,0,0,0.78
CW,P1k3,123,655.58,1,0/1,70.39,0,0,0.77
CW,P1k3,555,655.58,1,0/1,70.39,0,0,0.77
CW,P1k3,777,655.58,1,0/1,70.39,0,0,0.77
CW,P1k3,2024,655.58,1,0/1,70.39,0,0,0.77
