id,tipo,CEP,lat,lon,demanda_kg,volumes,valor_rs
0,depot,25251560,-23.0596,-44.07075,0.0,0.0,0.0
1,cliente,25520000,-23.2,-44.066159999999996,4.569,1.0,383.54
2,cliente,26562160,-23.0056,-44.04848,0.908,2.0,233.18
3,cliente,21911310,-23.0821,-44.12753,47.932,12.0,2130.48
4,cliente,21210623,-23.14393,-44.13943,9.301,4.0,734.36
5,cliente,25931378,-23.075979999999998,-44.05919,4.01,5.0,336.62
6,cliente,20260142,-23.18722,-44.15558,1.0,1.0,1529.1
7,cliente,25520001,-23.19991,-44.066159999999996,3.0,3.0,215.28
8,cliente,25585210,-22.7311,-44.06514,14.527999999999999,5.0,1547.22
9,cliente,21061240,-23.0884,-44.14198,52.952,20.0,3920.6
10,cliente,21020290,-23.1739,-44.14266,3.36,1.0,512.28
11,cliente,25931758,-23.04178,-44.05919,22.98,6.0,954.72
12,cliente,25555341,-22.71931,-44.06565,54.629999999999995,15.0,3183.99
13,cliente,23530611,-23.14501,-44.09999,59.766000000000005,12.0,3042.0
14,cliente,22720000,-23.2,-44.11376,3.476,1.0,261.23
15,cliente,23065620,-22.6942,-44.10798,40.26,21.0,3156.24
16,cliente,23894418,-22.80238,-44.09387,77.851,19.0,4727.65
17,cliente,25580020,-23.1982,-44.06514,78.03,23.0,5534.43
18,cliente,25272190,-23.0029,-44.07041,60.265,27.0,5172.05
19,cliente,21530160,-23.1856,-44.13399,6.907,2.0,645.16
20,cliente,26031481,-23.06671,-44.05749,5.0,6.0,1512.99
21,cliente,23515050,-22.7455,-44.10033,129.25,10.0,3595.5
22,cliente,23550265,-23.17615,-44.09965,66.0,4.0,443.33000000000004
23,cliente,21073160,-22.9156,-44.14181,3.0,3.0,196.57
24,cliente,23095842,-22.67422,-44.10747,4.09,1.0,232.88
25,cliente,21830008,-23.199279999999998,-44.12889,1.416,1.0,211.23
26,cliente,21250410,-23.1631,-44.13875,40.15,6.0,763.77
27,cliente,26280376,-23.166159999999998,-44.05324,153.56,28.0,2620.38
28,cliente,23060780,-23.1298,-44.10798,0.39,2.0,574.78
29,cliente,26041760,-23.0416,-44.05732,11.482,5.0,966.3100000000001
30,cliente,21750120,-23.1892,-44.13025,32.02,9.0,1902.72
31,cliente,20211270,-23.0857,-44.15643,40.233,10.0,2278.6800000000003
32,cliente,25233170,-22.9147,-44.07109,42.083,6.0,2201.69
33,cliente,21011400,-23.073999999999998,-44.14283,3.268,1.0,761.24
34,cliente,20540156,-23.185959999999998,-44.150819999999996,1.14,1.0,248.0
35,cliente,26281040,-23.1064,-44.05324,37.094,8.0,1695.8200000000002
36,cliente,20251440,-23.0704,-44.15575,53.0,4.0,283.51
37,cliente,26210000,-23.2,-44.054429999999996,9.17,6.0,887.77
38,cliente,21720040,-23.1964,-44.13076,49.18,9.0,2181.41
39,cliente,21311281,-23.08471,-44.13773,66.58699999999999,21.0,5865.92
40,cliente,21040115,-23.18965,-44.14232,1.416,1.0,211.23
41,cliente,22770235,-23.17885,-44.11291,11.27,3.0,660.06
42,cliente,25570162,-23.18542,-44.06531,68.47,19.0,4233.45
43,cliente,25260240,-23.1784,-44.07058,40.0,5.0,349.22
44,cliente,21220000,-23.2,-44.13926,15.289,5.0,1118.1799999999998
45,cliente,22745005,-22.74955,-44.11342,1.0,1.0,193.56
46,cliente,23058281,-22.454710000000002,-44.10815,16.75,5.0,960.12
47,cliente,20230011,-23.199009999999998,-44.15609,0.582,2.0,179.16
48,cliente,22755158,-22.73578,-44.11325,47.98,5.0,455.48
49,cliente,20750250,-23.1775,-44.14725,1.914,1.0,339.74
50,cliente,20771004,-23.10964,-44.14691,1.3619999999999999,2.0,99.53
51,cliente,25927112,-22.55992,-44.05936,26.741,3.0,2217.2799999999997
52,cliente,26022150,-23.0065,-44.05766,15.872,9.0,627.13
53,cliente,26140165,-23.18515,-44.05562,4.45,3.0,991.64
54,cliente,23530074,-23.19334,-44.09999,21.111,4.0,591.15
55,cliente,25900094,-23.19154,-44.0597,22.98,6.0,954.72
56,cliente,26022140,-23.0074,-44.05766,3.42,2.0,168.89
57,cliente,22631002,-23.10982,-44.11529,149.55,31.0,7536.21
58,cliente,25245810,-22.6771,-44.07092,0.78,2.0,197.04
59,cliente,21531020,-23.1082,-44.13399,7.294,4.0,435.24
60,cliente,26311110,-23.1001,-44.05273,206.046,29.0,4537.46
